NumeroRegistro;Sección;Denominación;Domicilio social;Código;Fecha;
6610;PRIMERA;CULTURAL HEDINO; CALLE ALAMEDA DEL AYUNTAMIENTO Nº 19 8º A, CP: 39750, COLINDRES, CANTABRIA;129;14/06/2018;
6611;PRIMERA;PARA LA DEFENSA ANIMAL EN CANTABRIA (ADA CANTABRIA); CALLE BELLAVISTA Nº 25 A, CP: 39760, ADAL, CANTABRIA;412;15/06/2018;
6612;PRIMERA;CULTURAL AEDEA MÚSICA; CALLE CERVANTES Nº 18 1 IZQ, CP: 39001, SANTANDER, CANTABRIA;125;19/06/2018;
6613;PRIMERA;SOCIOCULTURAL CANTABRA EXPOARTE; COLONIA VIRGEN DEL MILAGRO Nº 5 6º DCHA., CP: 39008, SANTANDER, CANTABRIA;121;19/06/2018;
6614;PRIMERA;DE AMIGOS DE LOS CAMINOS DE SANTIAGO DEL NORTE DE ESPAÑA EN CANTABRIA; CALLE CARLOS FERNANDEZ BARROS Nº 14 BLOQUE A, CP: 39600, MURIEDAS, CANTABRIA;124;20/06/2018;
6615;PRIMERA;RESPETO ANIMAL; BARRIO LA ROTIZA Nº 58 BAJO A, CP: 39130, PEDREÑA, CANTABRIA;412;20/06/2018;
6616;PRIMERA;DE MUJERES INDEPENDIENTES DE LAREDO A.M.I.L.; CALLE REVELLON Nº 36, CP: 39770, LAREDO, CANTABRIA;;21/06/2018;
6617;PRIMERA;TERACANN; CALLE FERNANDO DE LOS RIOS Nº 89 BAJO, CP: 39006, SANTANDER, CANTABRIA;103;21/06/2018;
6618;PRIMERA;GREEN PASSION; CALLE CISNEROS  Nº 15 BAJO 2, CP: 39001, SANTANDER, CANTABRIA;103;21/06/2018;
6619;PRIMERA;CULTURAL ERMITA DE SAN ROQUE; CALLE HOYO SAN ROQUE Nº 22, CP: 39430, MOLLEDO, CANTABRIA;129;26/06/2018;
6620;PRIMERA;ROCKEROS DEL OCCIDENTE DE CANTABRIA (ROC); CALLE PADRE ANGEL Nº 20, CP: 39540, SAN VICENTE DE LA BARQUERA, CANTABRIA;125;26/06/2018;
6621;PRIMERA;TEATRO SAN MIGUEL; BARRIO LA MAZA URB LAS PALMERAS  BLOQUUE 3 1A, CP: 39192, SAN MIGUEL DE MERUELO, CANTABRIA;126;28/06/2018;
6622;PRIMERA;MUSICAL SOLARES -MEDIO CUDEYO; CALLE EMILIO MAZA CIFRIAN  Nº 8 2, CP: 39710, SOLARES, CANTABRIA;125;28/06/2018;
6623;PRIMERA;MONTAÑESA DE APICULTORES;FERIAL DE GANADOS CALLE FERNADO ARCE  Nº S/N, CP: 39300, TORRELAVEGA, CANTABRIA;;28/06/2018;
6624;PRIMERA;REGIONAL DE TRABAJADORES E INFORMADORES JUVENILES MUNICIPALES DE CANTABRIA ATIJUCA; CUESTA DEL HOSPITAL Nº 10, CP: 39008, SANTANDER, CANTABRIA;321;29/06/2018;
6625;PRIMERA;"RUSO-HABLANTES EN CANTABRIA ""NUESTRA GENTE"""; BARRIO GUTIERREZ SOLANA 7 PORTAL D 2 A, CP: 39011, SANTANDER, CANTABRIA;;09/07/2018;
6626;PRIMERA;AMIGOS DE LA TUBA-BOMBARDINO DE VILLA LAREDO; AVENIDA DERECHOS HUMANOS Nº 17 BLOQUE 1 3 IZQ, CP: 39770, LAREDO, CANTABRIA;125;09/07/2018;
6627;PRIMERA;SOLIDARIDAD VENEZUELA CANTABRIA (ASOLVECAN); CALLE BRAZOMAR 54 BLOQUE 5 PORTAL 1 1º DCHA, CP: 39700, CASTRO-URDIALES, CANTABRIA;721;09/07/2018;
6628;PRIMERA;CUESTION DE APTITUD; CALLE LA FUENTE Nº 8 1º E, CP: 39311, SANTIAGO, CANTABRIA;;09/07/2018;
6629;PRIMERA;CULTURAL Y DEPORTIVA GERRA; CALLE RUPUENTE Nº 6, CP: 39547, LLAOS (LOS), CANTABRIA;911;10/07/2018;
6630;PRIMERA;ESCENA CÁNTABRA; AVENIDA DE LOS SOPORTALES Nº 2 3 B, CP: 39540, SAN VICENTE DE LA BARQUERA, CANTABRIA;126;18/07/2018;
6631;PRIMERA;VIEJO ROBLE; AVENIDA DE LA LIBERTAD Nº 9 1º IZQ., CP: 39600, MURIEDAS, CANTABRIA;414;19/07/2018;
6632;PRIMERA;DE TERAPEUTAS DE FAMILIA, Y EXPERTOS EN INTERVENCIONES SISTEMICAS DE CANTABRIA; BARRIO EL CONCEJERO Nº 34 BAJO, CP: 39500, CABEZON DE LA SAL, CANTABRIA;427;19/07/2018;
6633;PRIMERA;EL ENCUENTRO; BARRIO CARRIMON Nº 2 BAJO, CP: 39470, RENEDO, CANTABRIA;103;20/07/2018;
6634;PRIMERA;"GASTRONOMICA Y CULTURAL ""COFRADIA DEL TOMATE Y DEL PIMIENTO DE AMPUERO"" (CANTABRIA)"; CALLE JOSE ANTONIO Nº 13 1 C, CP: 39840, AMPUERO, CANTABRIA;128;23/07/2018;
6635;PRIMERA;CULTURAL ARTES BESAYA; CALLE EL RIUCO, URB. EL ARROYO Nº 7 BLOQUE B 1 D, CP: 39311, SANTIAGO, CANTABRIA;121;23/07/2018;
6636;PRIMERA;ACPC (ASOCIACION CANTABRA DE PROFESIONALES DE CIRCO);ENCLAVE PRONILLO SEDE FUNDACION SANTANDER CREATIVA CALLE GENERAL DAVILA Nº 129 BLOQUE A, CP: 39010, SANTANDER, CANTABRIA;126;31/07/2018;
6637;PRIMERA;AGRUPA-2 AMIGOS DE LA BATALLA DE FLORES; CALLE RECONQUISTA DE SEVILLA Nº 1, CP: 39770, LAREDO, CANTABRIA;922;07/08/2018;
6638;PRIMERA;LAS HIGUERAS; AVENIDA MARQUÉS DE VALDECILLA Nº 33 2, CP: 39011, SOTO DE LA MARINA, CANTABRIA;103;08/08/2018;
6639;PRIMERA;TERRITORIO EMPRENDIMIENTO; CALLE PABLO GARNICA  Nº 1 ENTLO, CP: 39300, TORRELAVEGA, CANTABRIA;818;10/08/2018;
6640;PRIMERA;"DE LA HERMANDAD DE COSTALEROS ""VIRGEN DEL CARMEN"" DEL BARRIO PESQUERO DE SANTANDER";PARROQUIA DEL BARRIO PESQUERO BARRIO PESQUERO, SANTANDER, CANTABRIA;128;20/08/2018;
6641;PRIMERA;AIRES DEL PAS; CALLE SAN FERNANDO Nº 4 BLOQUE A, CP: 39010, SANTANDER, CANTABRIA;128;20/08/2018;
6642;PRIMERA;AMIGOS CONDUCTORES CANTABROS; BARRIO LOS ROSALES Nº 10 1º B, CP: 39620, SARON, CANTABRIA;129;20/08/2018;
6643;PRIMERA;CANTABRA DE INGENIEROS TECNICOS INDUSTRIALES; CALLE BURGOS Nº 11 5º, CP: 39008, SANTANDER, CANTABRIA;833;17/08/2018;
6644;PRIMERA;DE CRIADORES DE GANADO VACUNO DE LA AGRUPACION PASIEGA; CALLE PLAZA Nº S/N, CP: 39686, SAN PEDRO DEL ROMERAL, CANTABRIA;836;22/08/2018;
6645;PRIMERA;DE RECREACION HISTORICA SEGUIDORES DE BACO (ARHSB); CALLE HERMANOS SALAS Nº 23 2º C, CP: 39400, CORRALES (LOS), CANTABRIA;127;27/08/2018;
6646;PRIMERA;"DE CRIADORES DE GANADO EQUINO DE RAZA HISPANO BRETONA EN CANTABRIA ""MANADAS"""; PALACIO DE MIER Nº 40, CP: 39513, RUENTE, CANTABRIA;836;29/08/2018;
6647;PRIMERA;LA SOMBRA DE ANDRÓMEDA; CALLE EL LIMBO Nº 12 3 B, CP: 39300, TORRELAVEGA, CANTABRIA;125;10/09/2018;
6648;PRIMERA;PEÑA IMPARABLES; CALLE SAN MIGUEL  Nº 15, CP: 39200, MATAMOROSA, CANTABRIA;925;07/09/2018;
6649;PRIMERA;PEÑA CANCERBEROS; CALLE MAYOR Nº 1, CP: 39200, REINOSA, CANTABRIA;925;11/09/2018;
6650;PRIMERA;PERRETES-K9, PERROS DE UTILIDAD; BARRIO LA CANAL Nº 4, CP: 39477, ORUÑA, CANTABRIA;355;11/09/2018;
6651;PRIMERA;DE GUIAS OFICIALES DE TURISMO DE CANTABRIA - APIT CANTABRIA; CALLE CISNEROS Nº 37 2 DCHA, CP: 39007, SANTANDER, CANTABRIA;836;28/09/2018;
6652;PRIMERA;CULTURAL ASTIMUSIC; CALLE POETA MIGUEL HERNANDEZ 7 6B, CP: 39610, ASTILLERO (EL), CANTABRIA;922;03/10/2018;
6653;PRIMERA;FEDERALISTAS DE CANTABRIA; BARRIO DE LAS CERREAS  Nº 7-B, CP: 39120, LIENCRES, CANTABRIA;114;03/10/2018;
6654;PRIMERA;DE GAITEROS EL CARMEN; CALLE ALCALDE  ARCHE Nº 2 8 D, CP: 39600, MURIEDAS, CANTABRIA;125;08/10/2018;
6655;PRIMERA;CAMPOO SCOOTER¿ CLUB; BARRIO VILLASUSO Nº 22, CP: 39292, VILLASUSO, CANTABRIA;924;09/10/2018;
6656;PRIMERA;VALDEOLEA EN EL CAMINO; CALLE LA VEGA 1 PORTAL 4 1º J, CP: 39200, MATAMOROSA, CANTABRIA;124;09/10/2018;
6657;PRIMERA;FIT & DANCE; CALLE EMILIO PORRUA Nº 8 BLOQUE E, CP: 39311, CARTES, CANTABRIA;924;09/10/2018;
6658;PRIMERA;CULTURAL MANOS ARRIBA -el musical-; CALLE PANDO Nº 6 BLOQUE B 1 B, CP: 39300, TORRELAVEGA, CANTABRIA;125;15/10/2018;
6659;PRIMERA;MEDRA-DOCENTES; CALLE COTERA Nº 11 BLOQUE 1 2º C, CP: 39100, SANTA CRUZ DE BEZANA, CANTABRIA;135;15/10/2018;
6660;PRIMERA;CULTURAL BARRIO DE LOS MARINEROS; BARRIO DE LOS MARINEROS Nº 18 2 A, CP: 39700, CASTRO-URDIALES, CANTABRIA;129;16/10/2018;
6661;PRIMERA;CULTURAL DE GÜEMES; CALLE TEMPAZ Nº 9, CP: 39191, GUEMES, CANTABRIA;124;16/10/2018;
6662;PRIMERA;CULTURAL Y DE FOLKLORE  DE CABEZON DE LA SAL;LA CASA DE CULTURA CONDE SAN DIEGO AVENIDA DE CANTABRIA Nº 12, CP: 39500, CABEZON DE LA SAL, CANTABRIA;128;16/10/2018;
6663;PRIMERA;CAILAGUA; PASEO BARON DE ADZANETA 30 2º 15A, CP: 39800, RAMALES DE LA VICTORIA, CANTABRIA;124;17/10/2018;
6664;PRIMERA;BARRICADAS; CALLE MIGUEL DE UNAMUNO Nº 12 5 A, CP: 39012, SANTANDER, CANTABRIA;126;18/10/2018;
6665;PRIMERA;CULTURAL GRUPO DE DANZAS DE UCIEDA;ANTIGUAS ESCUELAS CALLE EL ESTANCO , CP: 39513, UCIEDA, CANTABRIA;128;18/10/2018;
6666;PRIMERA;CULTURAL CORO JOVEN DE SANTANDER; PLAZA DE LOS DERECHOS HUMANOS Nº 5 1º B, CP: 39008, SANTANDER, CANTABRIA;125;19/10/2018;
6667;PRIMERA;DOMUS CANTABRIA; CALLE HERNAN CORTES 35 PPAL. IZQ., CP: 39003, SANTANDER, CANTABRIA;711;23/10/2018;
6668;PRIMERA;CULTURAL DESARROLLO PROXIMO; CALLE PLAZA DEL CARMEN Nº 1 2º, CP: 39500, CABEZON DE LA SAL, CANTABRIA;121;25/10/2018;
6669;PRIMERA;CULTURA Y AVENTURA POR EL MUNDO; CALLE MADRID Nº 12, CP: 39340, SUANCES, CANTABRIA;129;26/10/2018;
6670;PRIMERA;"CULTURAL E HISTORICA ""CASTRO EN LA MEMORIA"""; CALLE ARDIGALES Nº 44 4º, CP: 39700, CASTRO-URDIALES, CANTABRIA;127;07/11/2018;
6671;PRIMERA;AMIGOS DE LA BIBLIOTECA ESTELAR; BARRIO EL BARDAL Nº S/N, CP: 39479, ZURITA, CANTABRIA;129;07/11/2018;
6671;PRIMERA;AMIGOS DE LA BIBLIOTECA ESTELAR; BARRIO EL BARDAL Nº S/N, CP: 39479, ZURITA, CANTABRIA;129;07/11/2018;
6672;PRIMERA;GSK CLUB; BARRIO MERMON Nº 12 BLOQUE A, CP: 39314, QUEVEDA, CANTABRIA;103;07/11/2018;
6673;PRIMERA;DEL OBSERVATORIO CANTABRO DE DERECHOS HUMANOS PARA EL SAHARA OCCIDENTAL; CALLE VARGAS Nº 57 BLOQUE D 3, CP: 39010, SANTANDER, CANTABRIA;731;09/11/2018;
