NumeroRegistro;Sección;Denominación;Domicilio social;Código;Fecha;
3796;PRIMERA;"DE ALUMNOS Y EX ALUMNOS DEL I.E.S. ""LA MARINA""";POETA JOSÉ HIERRO S/N, CP: 39100, SANTA CRUZ DE BEZANA, CANTABRIA;;07/03/2006;
3797;PRIMERA;"DE APOYO A CUIDADORES FAMILIARES DE PERSONAS DEPENDIENTES ""CUIDADORES 10""";C/ TANTIN Nº 30, 5º A, CP: 39003, SANTANDER, CANTABRIA;;07/03/2006;
3798;PRIMERA;SOCIOCULTURAL PEÑA CABARGA;BARRIO LA COTERA Nº 113, CP: 39619, SANTIAGO DE CUDEYO, CANTABRIA;;07/03/2006;
3799;PRIMERA;AL SEJO;C/ SIGLO XX Nº 12 , BAJO , CP: 39700, CASTRO URDIALES, CANTABRIA;;07/03/2006;
3800;PRIMERA;GALVANES;C/ MARQUÉS DE ROBRERO Nº 6, 4-C, CP: 39740, SANTOÑA, CANTABRIA;;22/02/2006;
3801;PRIMERA;UNIÓN DE GHANANIANOS;C/ VALDERREDIBLE Nº 6-, 4ºD, CP: 39300, TORRELAVEGA, CANTABRIA;;13/03/2006;
3802;PRIMERA;CULTURAL TIMELE TEATRO;C/ ONTORIA, Nº 39, PTA. 6, CP: 39500, ONTORIA, CANTABRIA;;14/03/2006;
3803;PRIMERA;"DE MUJERES ""RIO PAS""";SAN VICENTE DE TORANZO, SAN VICENTE DE TORANZO, CANTABRIA;;14/03/2006;
3804;PRIMERA;CULTURAL GARMA;DUJU, Nº 19, CP: 39527, RUILOBUCA, CANTABRIA;;15/03/2007;
3805;PRIMERA;MUSICULTURA;C/ EL PICÓN Nº 2, CP: 39530, PUENTE SAN MIGUEL, CANTABRIA;;27/03/2006;
3806;PRIMERA;"FORO DE AUTOMOCION DE CANTABRIA, GRUPO DE INICIATIVAS REGIONALES DE AUTOMOCION ""GIRA""";ESCUELA T.S. DE INGENIEROS INDUSTRIALES  Y DE TELECOMUNICACIÓN.EDIFICIO CDTUC. FASE A, PLANTA BAJA, MODULO10. AVDA. DE LOS CASTROS, S/N., CP: 39005, SANTANDER, CANTABRIA;836;21/03/2006;
3807;PRIMERA;NOVA;C/ COLONIA VIRGEN DEL MILAGRO Nº 5, 3º DRCHA, CP: 39010, SANTANDER, CANTABRIA;;22/03/2006;
3808;PRIMERA;PEÑA TAURINA LA COPITA;MENÉNDEZ PELAYO   Nº 57/59, CP: 39006, SANTANDER, CANTABRIA;;24/03/2006;
3809;PRIMERA;"""EL ROBLE ROJO""";NICOLÁS SALMERÓN Nº 2  (NEXUS), CP: 39009, SANTANDER, CANTABRIA;;24/03/2006;
3810;PRIMERA;CULTURAL LA CASONA;C/ CAMINO REAL Nº 5, 2º DCHA., CP: 39311, CARTES, CANTABRIA;;27/03/2006;
3811;PRIMERA;RED DE SEMILLAS DE CANTABRIA;Bº LOSVIA, 24, CP: 39593, VALDALIGA, CANTABRIA;;28/03/2006;
3812;PRIMERA;DE VECINOS DE SANTULLÁN;C/ SANTULLAN Nº 44, BAJO DCHA, CP: 39706, SANTULLAN, CANTABRIA;;28/03/2006;
3813;PRIMERA;"CLUB DE ESCALADA ""ACCIÓN DIRECTA""";BARRIO LA LAMA Nº 244-1º-C-IZDA., CP: 39530, PUENTE SAN MIGUEL, CANTABRIA;;29/03/2006;
3814;PRIMERA;DE AMBIENTOLOGOS DE CANTABRIA (ADACAN);PLAZA DE LOS VALLES Nº 1-4-O, CP: 39300, TORRELAVEGA, CANTABRIA;;30/03/2006;
3815;PRIMERA;PEÑA MADRIDISTA LOS MONTAÑESES;BARRIO JURRIÓ Nº 59-1º-IZDA., CP: 39612, PARBAYÓN, CANTABRIA;;31/03/2006;
3816;PRIMERA;AGRUPACIÓN ORNITOLÓGICA DE CRIADORES DE CANTABRIA;URBANIZACIÓN EL BEDUL ,27, CP: 39778, SEÑA, CANTABRIA;;31/03/2006;
3817;PRIMERA;CORO DE MAYORES  CAÑADÍO;JOSÉ RAMÓN LÓPLEZ DÓRIGA Nº2 CALLE JOSE RAMON LÓPEZ DÓRIGA Nº 2, CP: 39003, SANTANDER, CANTABRIA;125;04/04/2006;
3818;PRIMERA;CANTABRA DE PERCUSIÓN ÉTNICA;SIXTO CÓRDOVA Nº 5- 1º-C, CP: 39012, SANTANDER, CANTABRIA;;04/04/2006;
3819;PRIMERA;CANTABRA DE INTEGRADORES SOCIALES;C/ SANTA CLARA Nº 13, CP: 39001, SANTANDER, CANTABRIA;;05/04/2006;
3820;PRIMERA;CORO SAN ANDRÉS;LA IGLESIA S/N, CP: 39626, LA ARGOMILLA DE CAYÓN, CANTABRIA;;05/04/2006;
3822;PRIMERA;SAN NICOLÁS DE BARI;SÁMANO, 99, CP: 39709, CASTRO URDIALES, CANTABRIA;;06/04/2006;
3823;PRIMERA;DE ALUMNOS DE LA C.E.P.A. LOS CORRALES;PLAZA DR. FLEMING S/Nº, CP: 39400, LOS CORRALES DE BUELNA, CANTABRIA;;07/04/2006;
3824;PRIMERA;ONGD...VA DE SOLIDARIDAD; CALLE LOS CUADRILLOS Nº 9 BLOQUE 2 3 C, CP: 39180, NOJA, CANTABRIA;731;07/04/2006;
3825;PRIMERA;LA TROMBA (PASA A JUVENIL 958);C/ SIMANCAS Nº 1-4ºH, CP: 39007, SANTANDER, CANTABRIA;;07/04/2006;
3826;PRIMERA;DEL I.E.S. LA GRANJA;BARRIO LA ESTACIÓN S/N, CP: 39792, MEDIO CUDEYO, CANTABRIA;;11/04/2006;
3827;PRIMERA;DE MUJERES DE ABIADA;C/ LA LLAGÜERA S/Nº (LA ESCUELA), CP: 39210, ABIADA, CANTABRIA;;11/04/2006;
3828;PRIMERA;DE ESCUELAS DE SURF DE S. VICENTE DE LA BARQUERA (AESV);PADRE ÁNGEL Nº 3-2º-DCHA, CP: 39540, SAN VICENTE DE LA BARQUERA, CANTABRIA;;17/04/2006;
3829;PRIMERA;FORO ESPAÑOL DE LA FAMILIA EN CANTABRIA;BARRIO LA PUNTANIA 1-A, Nº 4 (URBANIZACION LOS SAUCES), CP: 39120, MORTERA, CANTABRIA;;17/04/2006;
3830;PRIMERA;CASTRO VINTAGE CLASSIC CLUB;ATAULFO ARGENTA, Nº 3-B-5º-A, CP: 39700, CASTRO URDIALES, CANTABRIA;;17/04/2006;
3831;PRIMERA;LA CONFIANZA;Bº EL SOMO Nº 9, CP: 39012, SAN ROMAN DE LA LLANILLA, CANTABRIA;;18/04/2006;
3832;PRIMERA;PARA LA PROMOCIÓN INTEGRAL DE LA SALUD SEXUAL (APISS);LA AMISTAD, Nº 7-1º-DCHA., CP: 39006, SANTANDER, CANTABRIA;;18/04/2006;
3833;PRIMERA;MUSICA Y MOVIMIENTO DE CANTABRIA;C/ MARQUÉS DE LA HERMIDA 72,  Nº4, CP: 39009, SANTANDER, CANTABRIA;;19/04/2006;
3834;PRIMERA;DE RUMANOS RESIDENTES EN CANTABRIA;C/ JIMÉNEZ DÍAZ Nº 18, 3º IZQ., CP: 39007, SANTANDER, CANTABRIA;;20/04/2006;
3835;PRIMERA;VECINAL: EL PUENTE DE GOLBARDO;BARRIO LA IGLESIA Nº 4, CP: 39590, GOLBARDO, CANTABRIA;;20/04/2006;
3836;PRIMERA;CORAL SANTA CATALINA DE SAN ROMAN DE LA LLANILLA- SANTANDER;C/ EL SOMO Nº 60. , CP: 39012, SAN ROMAN DE LA LLANILLA, CANTABRIA;;25/04/2006;
3837;PRIMERA;"CULTURAL DE AMAS DE CASA DE SANTOÑA ""SAN MARTIN""";CENTRO PARROQUIAL S/N, CP: 39740, SANTOÑA, CANTABRIA;;26/04/2006;
3838;PRIMERA;CORAL PEÑA LABRA;C/ SANTA LUCIA Nº 43, ENTLO. C, CP: 39003, SANTANDER, CANTABRIA;;02/05/2006;
3839;PRIMERA;CULTURAL LA DANZA DE LAS LANZAS DE RUILOBA;BARRIO DE LA IGLESIA P. LA CIGOÑA S/N, CP: 39527, RUILOBA, CANTABRIA;;04/05/2006;
3840;PRIMERA;LA ROSA;AVDA. ANTONIO GALLERY Nº 5, 1º, CP: 39540, SAN VICENTE DE LA BARQUERA, CANTABRIA;;08/05/2006;
3841;PRIMERA;DE AYUDA A NIÑOS DE ALTAS CAPACIDADES DE CANTABRIA;C/ LEONARDO RUCABADO Nº 24-A, 11A, CP: 39700, CASTRO URDIALES, CANTABRIA;;15/03/2006;
3842;PRIMERA;LICEO MUSICAL DE CASTRO;C/ EL MORAL Nº 74 A-26, CP: 39709, CASTRO URDIALES, CANTABRIA;;09/05/2006;
3843;PRIMERA;AMIGOS DE RUCANDIO;Bº COLLADILLO Nº 74, CP: 39720, RUCANDIO-LA CAVADA, CANTABRIA;;09/05/2006;
3844;PRIMERA;CULTURAL NUBERO;C/ LA CALETA III Nº 6, 1º B, CP: 39310, MOGRO, CANTABRIA;;03/04/2006;
3845;PRIMERA;GRUPO EXTRAVAGANCIA;C/ MIRAVALLES Nº 27 C, CP: 39300, TORRELAVEGA, CANTABRIA;;11/05/2006;
3846;PRIMERA;ADECO-CANTABRIA (AMISTAD, DESARROLLO Y COOPERACION-CANTABRIA);C/ CASTILLA Nº 21, CP: 39009, SANTANDER, CANTABRIA;;31/03/2006;
3847;PRIMERA;CULTURAL-DEPORTIVA SUANCESLAVIA;PLAZA DE VIARES Nº 11, 3º D, CP: 39340, SUANCES, CANTABRIA;;15/05/2006;
3848;PRIMERA;CULTURAL MATAMOROSA;C/ SAN MIGUEL Nº 25, CP: 39200, MATAMOROSA, CANTABRIA;;27/06/2006;
3849;PRIMERA;"MOTERA ""EL PUNTITO""";C/ LA ALBERICIA, Nº 5 - 4ª, CP: 39012, SANTANDER, CANTABRIA;;01/06/2006;
3851;PRIMERA;SOCIOCULTURAL RIVENDEL;C/ SAN ANTONIO Nº 36, CP: 39538, HELGUERA DE REOCIN, CANTABRIA;;02/06/2006;
3852;PRIMERA;CULTURAL LLENDEMOZO;ONTORIA, 48, CP: 39500, ONTORIA, CANTABRIA;;08/06/2006;
3853;PRIMERA;"HERMANOS DEL ECUADOR ""MI TIERRA LINDA""";C/ DIVISION AZUL Nº 8, BAJO, CP: 39010, SANTANDER, CANTABRIA;;08/06/2006;
3854;PRIMERA;CULTURAL VITRINOR;Bº RIO SECO S/N, CP: 39787, GURIEZO, CANTABRIA;;13/06/2006;
3855;PRIMERA;AMIGOS DEL CAMINO LEBANIEGO DE SANTANDER;C/ RUAMAYOR Nº 11, CP: 39008, SANTANDER, CANTABRIA;;19/06/2006;
3856;PRIMERA;LAS PRINCESAS SALEN A BAILAR;AVDA. DE LA MAGDALENA Nº 4, 2º, CP: 39005, SANTANDER, CANTABRIA;;20/06/2006;
3857;PRIMERA;VISTAS A PEÑACABARGA;C/ GENERAL DAVILA Nº 38, 2º D, CP: 39006, SANTANDER, CANTABRIA;;21/06/2006;
3858;PRIMERA;DE PROPIETARIOS UA2 DE CASTRO URDIALES;C/ LEONARDO RUCABADO. RESIDENCIAL MONTESOLMAR Nº 24-A , CP: 39700, CASTRO URDIALES, CANTABRIA;;22/06/2006;
3859;PRIMERA;CULTURAL GARVINES DE VILLACANTID;"CENTRO SOCIAL ""LA UNIVERSIDAD"" S/N, CP: 39210, VILLACANTID, CANTABRIA";;22/06/2006;
3860;PRIMERA;CANTABRA DE FOTOGRAFIA;C/ CONSTITUCION Nº 4, ENTLO. OFICINA 3, CP: 39600, MURIEDAS, CANTABRIA;;26/06/2006;
3861;PRIMERA;DEPORTIVO Y CULTURAL RIA DEL PAS;C/ SAN JOSE Nº 4, CP: 39478, BOO DE PIELAGOS, CANTABRIA;;03/07/2006;
3862;PRIMERA;DEPORTIVA CULTURAL CLUB 4X4 LA ESLINGA;BARRIO LA FONDONA Nº 26, CP: 39538, HELGUERA, CANTABRIA;;27/06/2006;
3863;PRIMERA;IAESTE CIENCIAS;AVDA. LOS CASTROS S/N - FACULTAD DE CIENCIAS, CP: 39005, SANTANDER, CANTABRIA;;30/06/2006;
3864;PRIMERA;GRUPO DELIVERANCE;C/ JUAN XXIII Nº 11 - 3º  IZQ., CP: 39300, TORRELAVEGA, CANTABRIA;;03/07/2006;
3865;PRIMERA;DE PRODUCTORES DE LOS VALLES PASIEGOS;ANTIGUAS ESCUELAS DE SARO Bº BARROSARO S/N, CP: 39639, SARO, CANTABRIA;;03/07/2006;
3866;PRIMERA;AMIGOS DEL CABALLO REAL VALLE DE CAYON;BARRIO LAS VENTAS Nº 14, CP: 39626, SAN ROMAN DE CAYON, CANTABRIA;;04/07/2006;
3868;PRIMERA;DEPORTIVA CULTURAL JERRAN;BARRIO LA ROBLEDA Nº 127, CP: 39530, PUENTE SAN MIGUEL, CANTABRIA;;05/07/2006;
3869;PRIMERA;DE AGENTES DE IGUALDAD + IGUAL;C/ PORTUS AMANUM Nº 2 - 1º A, CP: 39700, CASTRO URDIALES, CANTABRIA;;10/07/2006;
3870;PRIMERA;GIRA POR EL DESARROLLO;C/ MAGALLANES Nº 17 - BAJO, CP: 39007, SANTANDER, CANTABRIA;;28/06/2006;
3871;PRIMERA;LA QUIMERA DE BACO;C/ MUELLE DEL REY Nº 166, CP: 39140, SOMO, CANTABRIA;;10/07/2006;
3872;PRIMERA;LAZY;C/ JOSE DE ESCANDON Nº 6 - 2º DCH., CP: 39012, SANTANDER, CANTABRIA;;10/07/2006;
3873;PRIMERA;"DE VECINOS DE UDIAS ""SEL DEL HAYA""";EL LLANO Nº 37, CP: 39507, UDÍAS, CANTABRIA;;13/07/2006;
3874;PRIMERA;CULTURAL Y DEPORTIVA YAWARA;PASEO GENERAL DAVILA Nº 306 BAJO INTERIOR, CP: 39007, SANTANDER, CANTABRIA;;13/07/2006;
3875;PRIMERA;LA SERRULDA;ANTIGUAS ESCUALES. BARRIO LA COTERA Nº 40, CP: 39450, SAN VICENTE DE LEON, CANTABRIA;;13/07/2006;
3876;PRIMERA;LA BODEGA MUSICAL;SAN LORENZO S/N, CP: 39479, SAN ROMAN DE CAYON , CANTABRIA;;17/07/2006;
3877;PRIMERA;DE CONSORCIANTES DE TERRENOS COMUNALES DE OTAÑES;C/ LA CENTRAL Nº 57, CP: 39707, OTAÑES, CANTABRIA;;17/07/2006;
3878;PRIMERA;MURGUISTA LOS RAYITOS;C/ LAS HUERTAS Nº 2, BAJO, CP: 39740, SANTOÑA, CANTABRIA;;07/07/2006;
3879;PRIMERA;CLAN CAVERNARIO;C/ ANTONIO MENDOZA Nº 16, 1º IZDA., CP: 39007, SANTANDER, CANTABRIA;;26/07/2006;
3880;PRIMERA;AGLOW;PZ. DE LAS CERVEZAS C/ SAN FERNANDO Nº 16-A, ENTLO. K, CP: 39010, SANTANDER, CANTABRIA;;26/07/2006;
3881;PRIMERA;CULTURAL PUENTE DE TRETO;C/ LA MAZA Nº 9, CP: 39760, ADAL-TRETO, CANTABRIA;;25/07/2006;
3882;PRIMERA;CULTURAL Y DEPORTIVA FUENTE CUBA;C/ EL LUGAR Nº 15, CP: 39594, MUÑORRODERO, CANTABRIA;;13/07/2006;
3883;PRIMERA;CLUB DE FANS OFICIAL DE SECRETO A VOCES;BARRIO LA TEJERA S/N. - ALTO SAN MATEO, CP: 39478, BOO DE PIELAGOS, CANTABRIA;;26/07/2006;
3885;PRIMERA;CULTURAL PICAYOS DE COHICILLOS;C/ SAN MIGUEL DE COHICILLOS S/N - LOS CORROS, CP: 39460, CARTES, CANTABRIA;;31/07/2006;
3886;PRIMERA;CULTURAL DE ARTES PLASTICAS LA ARENA;C/ ISABEL LA CATOLICA Nº 16, CP: 39007, SANTANDER, CANTABRIA;;06/08/1999;
3887;PRIMERA;ACUERDOS Y MEDIACION;C/ RAIMUNDO CICERO ARRECHE Nº 4, 2º B, CP: 39300, TORRELAVEGA, CANTABRIA;;02/08/2006;
3888;PRIMERA;TITULARES DE PARCELAS DEL PLAN PARCIAL SANTA MARINA;C/ HERNAN CORTES Nº 15,  ENTLO. DCHA., CP: 39003, SANTANDER, CANTABRIA;;04/08/2006;
3889;PRIMERA;DE MUJERES LA SOLANA;CENTRO CIVICO SOCIAL VALVANUZ, VALVANUZ S/N, CP: 39696, SELAYA, CANTABRIA;;07/08/2006;
3890;PRIMERA;CORO RONDA TURISMO RURAL;C/ SAN CELEDONIO Nº 49, CP: 39001, SANTANDER, CANTABRIA;;07/08/2006;
3891;PRIMERA;PLATAFORMA BLANCA AFECTADOS DE CANTABRIA;URBANIZACION RIA DEL PAS Nº 314, CP: 39478, BOO DE PIELAGOS, CANTABRIA;;03/08/2006;
3892;PRIMERA;ASPAVIENTOS;C/ RAMON Y CAJAL Nº 40, BAJO, CP: 39005, SANTANDER, CANTABRIA;;07/08/2006;
3894;PRIMERA;CANTABRA DE DEPORTES Y JUEGOS TRADICIONALES;CENTRO SOCIAL LA ROBLEDA CALLE LA ROBLEDA Nº 21, CP: 39311, SANTIAGO, CANTABRIA;922;11/08/2006;
3895;PRIMERA;INICIATIVAS CULTURALES CANTABRAS (INCULCAN);C/ FRANCISCO ITURRINO Nº 54-2º IZDA., CP: 39011, SANTANDER, CANTABRIA;;16/08/2006;
3896;PRIMERA;CLUB NAUTICO DE SAN VICENTE DE LA BARQUERA;PUERTO DE SAN VICENTE DE LA BARQUERA, CP: 0, SAN VICENTE DE LA BARQUERA, CANTABRIA;;16/08/2006;
3897;PRIMERA;INTERCULTURAL NUEVAGENTE;C/ MARQUES DE LA HERMIDA, Nº 24 - ENTLO., CANTABRIA;;21/08/2006;
3898;PRIMERA;FIELD TARGET DE CANTABRIA;RUALASAL Nº 23-3º IZDA., CP: 39001, SANTANDER, CANTABRIA;;22/08/2006;
3899;PRIMERA;HETERONIMIA JAZZ-POP;C/ SAN JOSE Nº 34-G, 2º D, CP: 39312, REQUEJADA (POLANCO), CANTABRIA;;28/08/2006;
3900;PRIMERA;DE CONSUMIDORES DE PRODUCTOS ECOLÓGICOS Y ARTESANOS MARSOPA;C/ FERNÁNDEZ  VALLEJO Nº 93, PUERTA 36, CP: 39316, TANOS, CANTABRIA;;31/08/2006;
3901;PRIMERA;"CULTURAL Y DEPORTIVA ""THE GUINNESS HOUSE SOLARES""";AVDA. OVIEDO RESIDENCIAL VAL DE CELLA. EDIFICIO 1 LOCAL A, CP: 39710, SOLARES, CANTABRIA;;04/09/2006;
3902;PRIMERA;"SOCIO CULTURAL ""AMIGOS DEL PATRIMONIO DE LAREDO""";  C/ RECONQUISTA DE SEVILLA Nº 1- BAJO, CP: 39770, LAREDO, CANTABRIA;;10/08/2006;
3903;PRIMERA;DE PROPIETARIOS DE CABAÑAS PASIEGAS PISUEÑA, PAS Y MIERA;Bº SOLIJA, Nº 8 - 1º DCHA., CP: 39696, SELAYA, CANTABRIA;;25/09/2006;
3904;PRIMERA;DE VECINOS BARRIO DE SÁMANO;Bº LAISECA Nº 154-A, CP: 39709, SÁMANO, CANTABRIA;;08/09/2006;
3905;PRIMERA;FOCONORTE;C/ MIGUEL DE UNAMUNO, Nº 22 - 10º A, CP: 39012, SANTANDER, CANTABRIA;;12/09/2006;
3906;PRIMERA;CULTURAL LABORATORIO ESPIRAL DE TEATRO;C/ SOL Nº 7, 4º, CP: 39003, SANTANDER, CANTABRIA;;11/09/2006;
3907;PRIMERA;INICIATIVA POR CASTRO;C/ JUAN DE LA COSA Nº 4, 1º, CP: 39700, CASTRO URDIALES, CANTABRIA;;11/09/2006;
3908;PRIMERA;DE PILOTOS DE CANTABRIA;C/ MENÉNDEZ PELAYO Nº 30, CP: 39750, COLINDRES, CANTABRIA;;12/09/2006;
3910;PRIMERA;AMIGOS DEL SANTUARIO DE MONTESCLAROS;SANTUARIO DE NUESTRA SEÑORA DE MONTESCLAROS, CP: 39213, MONTESCLAROS, CANTABRIA;;12/09/2006;
3911;PRIMERA;CULTURAL GAITEROS DE PEÑAMELLERA;FERNANDO DE LOS RIOS Nº 44, CP: 39006, SANTANDER, CANTABRIA;;12/09/2006;
3912;PRIMERA;MUSICAL-CULTURAL MARLENNE;PLAZA DE LOS VALLES Nº 5- 2M, CP: 39300, TORRELAVEGA, CANTABRIA;;13/09/6006;
3913;PRIMERA;"CULTURAL ""RONDA LAS FUENTES""";EMILIO VALLE Nº 10- 3ºA, CP: 39200, REINOSA, CANTABRIA;;13/09/2006;
3914;PRIMERA;MC CANTABRIA;CONCHA ESPINA, Nº  5 - 3º, CP: 39012, SANTANDER, CANTABRIA;;13/09/2006;
3915;PRIMERA;SIERRALLANA DE ANESTESIOLOGIA (ASA);C/ POETA JOSE LUIS HIDALGO Nº 6-1º C, CP: 39300, TORRELAVEGA, CANTABRIA;;20/09/2006;
3916;PRIMERA;RIGURAOS;ANTIGUAS ESCUELAS DE SAN ROMÁN DE CAYÓN, CP: 39626, SAN ROMÁN DE CAYÓN, CANTABRIA;;20/09/2006;
3917;PRIMERA;CANTABRA DE SERVICIOS A LA COMUNIDAD (ASOCAN);URB. CIERRO DE LA SARA Nº 133, CP: 39478, BOO DE PIELAGOS, CANTABRIA;;25/09/2006;
3918;PRIMERA;CULTURAL MILWOOKIS;C/ GANDARA Nº 4, 1º D-2, CP: 39003, SANTANDER, CANTABRIA;;25/09/2006;
3919;PRIMERA;CULTURAL Y MUSICAL EL MATADERO;POLÍGONO INDUSTRIAL, NAVE 43, CP: 39740, SANTOÑA, CANTABRIA;;25/09/2006;
3920;PRIMERA;MAR ARBOLADA;CARRETERA SANTOÑA-CICERO S/N, CP: 39740, SANTOÑA, CANTABRIA;;25/09/2006;
3921;PRIMERA;FRATERNIDAD CRISTIANA DE PERSONAS CON DISCAPACIDAD;C/ JOSÉ MARÍA COSSÍO Nº 15, CP: 39011, SANTANDER, CANTABRIA;;13/09/2006;
3922;PRIMERA;CULTURAL TODO EL ROCK DE CANTABRIA;C/ POETA MIGUEL HERNÁNDEZ Nº 1, CP: 39610, ASTILLERO, CANTABRIA;;25/09/2006;
3923;PRIMERA;ACAI;C/ MARQUES DE LA ENSENADA - ENSENADA DEL ARTE  LOCAL 14, CP: 39009, SANTANDER, CANTABRIA;;28/09/2006;
3924;PRIMERA;MICRO ABIERTO;AVDA. DERECHOS HUMANOS Nº 17-5, 5ºD, CP: 39770, LAREDO, CANTABRIA;;29/09/2006;
3925;PRIMERA;CULTURAL LA ESCUELA;CENTRO CULTURAL LA ESCUELA, CP: 39419, BARCENA DE EBRO, CANTABRIA;;03/10/2006;
3926;PRIMERA;POR LA INCLUSION SOCIAL DE SANTANDER;C/ FLORANES Nº 44, 5º A, CP: 39010, SANTANDER, CANTABRIA;;03/10/2006;
3927;PRIMERA;CULTURAL DE SALCES;CENTRO SOCIAL Y CULTURAL SE SALCES S/Nº, CP: 39212, SALCES, CANTABRIA;;05/10/2006;
3928;PRIMERA;DEPORTIVA CULTURAL PATREOCIN;Bº ARGUDÍN Nº 86, 2º E, CP: 39530, PUENTE SAN MIGUEL, CANTABRIA;;18/10/2006;
3929;PRIMERA;MEDICEA;C/ ISAAC PERAL Nº 20, 5º DCHA., CP: 39008, SANTANDER, CANTABRIA;;19/10/2007;
3930;PRIMERA;DE ARGENTINOS EN CANTABRIA;C/ LEON FELIPE Nº 12, 4º DCHA., CP: 39011, SANTANDER, CANTABRIA;;19/10/2006;
3931;PRIMERA;PARA EL DESARROLLO DE LA EDUCACIÓN MUSICAL EN SAN VICENTE DE LA BARQUERA (ADEM);C/ CARRETERA DEL FARO Nº 3, 2º A, CP: 39540, SAN VICENTE DE LA BARQUERA, CANTABRIA;;23/10/2006;
3932;PRIMERA;DE GAITAS LA JHILA;C/ SANTO DOMINGO DE GUZMÁN S/Nº, CP: 39400, LOS CORRALES DE BUELNA, CANTABRIA;;03/11/2006;
3933;PRIMERA;CULTURAL RONDALLA AIRES DEL EBRO;C/ LA FLORIDA Nº 13, 2º DCHA., CP: 39200, REINOSA, CANTABRIA;;03/11/2006;
3934;PRIMERA;RACINGUISTAS CONISCOS;BAR ROMY, CP: 39764, BÁDAMES, CANTABRIA;;09/11/2007;
3935;PRIMERA;ARTYMAÑA;AVDA. DEL STADIUM Nº 2, 8º B, CP: 39005, SANTANDER, CANTABRIA;;09/11/2006;
3936;PRIMERA;"CULTURAL DE OCIO ""NUNCA LLUEVE A GUSTO DE TODOS""";C/ POETA MIGUEL HERNANDEZ  Nº 13, 3º A, CP: 39610, ASTILLERO, CANTABRIA;;08/11/2006;
3938;PRIMERA;LA FURGONETA;C/ JUAN DE LA COSA Nº 23 1º D, CP: 39740, SANTOÑA, CANTABRIA;;14/11/2007;
3939;PRIMERA;HERMANOS DE CARRETERA-CANTABRIA (HDE-CANTABRIA);C/ JOSÉ MARÍA DE PEREDA Nº 26, 2º IZDA., CP: 39300, TORRELAVEGA, CANTABRIA;;14/11/2006;
3940;PRIMERA;BARKHANA TEATRO;C/ MARÍA CRISTINA Nº 26, ENTLO., CP: 39001, SANTANDER, CANTABRIA;;14/11/2006;
3941;PRIMERA;CULTURAL NAHEBA;AVDA. DR. ARINES Nº 26, CP: 39500, CABEZÓN DE LA SAL, CANTABRIA;;13/11/2006;
3942;PRIMERA;LÚDICA DE VALDERREDIBLE;C/ LOS MARINEROS Nº 24, CP: 39220, POLIENTES, CANTABRIA;;17/11/2006;
3943;PRIMERA;ARTE Y JARDÍN;C/ CANTÓN S/Nº, CP: 39314, QUEVEDA, CANTABRIA;;17/11/2006;
3944;PRIMERA;AMIGOS DE TORRELAVEGA Y BUCARAMANGA;C/ JOSÉ MARÍA DE PEREDA 17, ENTLO. , CP: 39300, TORRELAVEGA, CANTABRIA;;17/11/2006;
3945;PRIMERA;GITANA AMANECER;C/ ALDAY Nº 10, CP: 39600, MALIAÑO, CANTABRIA;;04/07/1994;
3946;PRIMERA;PESAGUERO, LA RUTA DEL OSO;C/ DOSAMANTES S/Nº, CP: 39572, PESAGUERO, CANTABRIA;;21/11/2006;
3947;PRIMERA;PARA LA CONCIENCIA DE CONSUMO (ACOCON);C/ CONCHA ESPINA, 7, CP: 39600, MURIEDAS, CANTABRIA;;27/11/2006;
3948;PRIMERA;UCALITO-TEATRO;AULA DE CULTURA DE SUESA. C/ LA POLA Nº 7, CP: 39150, SUESA, CANTABRIA;;28/11/2006;
3949;PRIMERA;SOLIDARIDAD CON AMERICA LATINA-CANTABRIA (SAL-CANTABRIA);C/ PEÑAS ARRIBA Nº 19, CP: 39200, REINOSA, CANTABRIA;;30/11/2006;
3950;PRIMERA;AMIGOS DE VIVAK;C/ SANTA LUCÍA, Nº 11 DUPLICADO, CP: 39003, SANTANDER, CANTABRIA;;13/12/2006;
3951;PRIMERA;AGRUPACION MUSICAL Y CULTURAL SANTISIMA VIRGEN DE LA AMARGURA;C/ RUAMAYO Nº 15, 4º C, CP: 39008, SANTANDER, CANTABRIA;;13/12/2006;
3952;PRIMERA;IDEAS: INICIATIVAS PARA UN DESARROLLO LOCAL EQUILIBRADO Y AMBIENTALMENTE SOSTENIBLE;C/ AUTONOMÍA Nº 16, 6º B, CP: 39300, TORRELAVEGA, CANTABRIA;;13/12/2006;
3953;PRIMERA;GASTRONÓMICO-CULTURAL EL PUCHERU;PLAZA DEL GALLO Nº 2 B, 2º C, CP: 39311, SANTIAGO DE CARTES, CANTABRIA;;14/12/2006;
3956;PRIMERA;CULTURAL EL MULTICINE;C/ AUGUSTO GONZÁLEZ DE LINARES Nº 8, BAJO, CP: 39006, SANTANDER, CANTABRIA;;15/12/2006;
3957;PRIMERA;ALULA PROYECTOS EDUCATIVOS DE LIBRE EXPRESION;BUSTILLO DEL MONTE, C / BARRO  S/N, CP: 39249, VALDERREDIBLE, CANTABRIA;;20/12/2006;
3958;PRIMERA;DEPORTIVA SOLARES FÚTBOL-7;C/ CALVO SOTELO Nº 1, 3º IZDA., CP: 39710, SOLARES, CANTABRIA;;20/12/2006;
